Sample,Year,location,treatment,trtname,chemical,rep,isloc,isattempt,isrecover,isolate_multi_spec,multispecplant,camefrom,isolate_code,Long Term Storage,accession,voucher,percentage of identical matches,Bitscore,TaxCutoff,Highest BLAST taxonomy,Conservative Taxonomy,clade
VAL1601_16,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1601_16,.,.,.,.,.,.,.,.,.,.
VAL1601_16,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,TRUE,FALSE,,VAL1601_16,VAL1601_16,1,AY598645,CBS 453.67,100,1805,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_88,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,FALSE,.,.,,VAL1601_16,VAL1601_88,1,AY598645,CBS 453.67,100,1807,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_17,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1601_17,.,.,.,.,.,.,.,.,.,.
VAL1601_17,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,TRUE,FALSE,,VAL1601_17,VAL1601_17,1,AY598657,CBS 398.51,100,1652,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_18,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1601_18,.,.,.,.,.,.,.,.,.,.
VAL1601_18,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,TRUE,FALSE,,VAL1601_18,VAL1601_18,1,AY598657,CBS 398.51,100,1618,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_19,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1601_19,.,.,.,.,.,.,.,.,.,.
VAL1601_19,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,TRUE,FALSE,,VAL1601_19,VAL1601_19,1,HQ643888,BR 861,100,1515,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_20,2016,MI,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1601_20,.,.,.,.,.,.,.,.,.,.
VAL1601_20,2016,MI,1,NTC,none,2,root,TRUE,TRUE,FALSE,,VAL1601_20,VAL1601_20,1,AY598645,CBS 453.67,100,1720,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_21,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,FALSE,FALSE,,VAL1601_21,VAL1601_21,1,HQ643764.1,BR627,99,1797,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_21,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1601_21,.,.,.,.,.,.,.,.,.,.
VAL1601_22,2016,MI,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1601_22,.,.,.,.,.,.,.,.,.,.
VAL1601_22,2016,MI,1,NTC,none,2,root,TRUE,TRUE,TRUE,,VAL1601_22,VAL1601_22,1,AY598645,CBS 453.67,100,1823,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_82,2016,MI,1,NTC,none,2,root,FALSE,.,.,,VAL1601_22,VAL1601_82,1,AY598624,CBS 316.33,100,1591,Pass,Pythium torulosum  ,Pythium torulosum,B
VAL1601_23,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1601_23,.,.,.,.,.,.,.,.,.,.
VAL1601_23,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,TRUE,FALSE,,VAL1601_23,VAL1601_23,1,AY598657,CBS 398.51,99,1677,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_24,2016,MI,1,NTC,none,2,root,TRUE,TRUE,FALSE,,VAL1601_24,.,.,.,.,.,.,.,.,.,.
VAL1601_24,2016,MI,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1601_24,.,.,.,.,.,.,.,.,.,.
VAL1601_115,2016,MI,1,NTC,none,2,root,FALSE,.,.,,VAL1601_24,VAL1601_115,1,AY598645,CBS 453.67,97,1701,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_25,2016,MI,1,NTC,none,2,root,TRUE,FALSE,FALSE,,VAL1601_25,.,.,.,.,.,.,.,.,.,.
VAL1601_25,2016,MI,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1601_25,.,.,.,.,.,.,.,.,.,.
VAL1601_26,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,FALSE,FALSE,,VAL1601_26,.,.,.,.,.,.,.,.,.,.
VAL1601_26,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1601_26,.,.,.,.,.,.,.,.,.,.
VAL1601_27,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1601_27,.,.,.,.,.,.,.,.,.,.
VAL1601_114,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,FALSE,.,.,,VAL1601_27,VAL1601_114,1,AY598645,CBS 453.67,99,1731,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_27,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,TRUE,TRUE,,VAL1601_27,VAL1601_27,1,AY598624,CBS 316.33,99,1531,Pass,Pythium torulosum  ,Pythium torulosum,B
VAL1601_28,2016,MI,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1601_28,.,.,.,.,.,.,.,.,.,.
VAL1601_28,2016,MI,1,NTC,none,2,root,TRUE,TRUE,TRUE,,VAL1601_28,.,.,.,.,.,.,.,.,.,.
VAL1601_103,2016,MI,1,NTC,none,2,root,FALSE,.,.,,VAL1601_28,VAL1601_103,1,AY598645,CBS 453.67,99,1762,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_104,2016,MI,1,NTC,none,2,root,FALSE,.,.,,VAL1601_28,VAL1601_104,1,AY598657,CBS 398.51,100,1605,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_29,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,stem,TRUE,FALSE,FALSE,,VAL1601_29,.,.,.,.,.,.,.,.,.,.
VAL1601_29,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,root,TRUE,TRUE,FALSE,,VAL1601_29,VAL1601_29,1,AY598657,CBS 398.51,100,1633,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_30,2016,MI,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1601_30,.,.,.,.,.,.,.,.,.,.
VAL1601_30,2016,MI,1,NTC,none,2,root,TRUE,TRUE,FALSE,,VAL1601_30,VAL1601_30,1,AY598657,CBS 398.51,99,1537,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_31,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,root,TRUE,FALSE,FALSE,,VAL1601_31,.,.,.,.,.,.,.,.,.,.
VAL1601_31,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,stem,TRUE,FALSE,FALSE,,VAL1601_31,.,.,.,.,.,.,.,.,.,.
VAL1601_32,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,stem,TRUE,FALSE,FALSE,,VAL1601_32,.,.,.,.,.,.,.,.,.,.
VAL1601_32,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,root,TRUE,TRUE,FALSE,,VAL1601_32,VAL1601_32,1,AY598657,CBS 398.51,100,1687,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_33,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,stem,TRUE,FALSE,FALSE,,VAL1601_33,.,.,.,.,.,.,.,.,.,.
VAL1601_33,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,root,TRUE,TRUE,FALSE,,VAL1601_33,VAL1601_33,1,DQ091300,20172,100,1783,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_34,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,root,TRUE,FALSE,FALSE,,VAL1601_34,.,.,.,.,.,.,.,.,.,.
VAL1601_34,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,stem,TRUE,FALSE,FALSE,,VAL1601_34,.,.,.,.,.,.,.,.,.,.
VAL1601_35,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,stem,TRUE,FALSE,FALSE,,VAL1601_35,.,.,.,.,.,.,.,.,.,.
VAL1601_35,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,root,TRUE,TRUE,FALSE,,VAL1601_35,VAL1601_35,1,AY598645,CBS 453.67,100,1801,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_36,2016,MI,1,NTC,none,3,root,TRUE,FALSE,FALSE,,VAL1601_36,.,.,.,.,.,.,.,.,.,.
VAL1601_36,2016,MI,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1601_36,.,.,.,.,.,.,.,.,.,.
VAL1601_37,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,root,TRUE,TRUE,FALSE,,VAL1601_37,.,.,.,.,.,.,.,.,.,.
VAL1601_37,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,stem,TRUE,FALSE,FALSE,,VAL1601_37,.,.,.,.,.,.,.,.,.,.
VAL1601_106,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,root,FALSE,.,.,,VAL1601_37,VAL1601_106,1,HQ643764,BR 627,100,1838,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_38,2016,MI,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1601_38,.,.,.,.,.,.,.,.,.,.
VAL1601_38,2016,MI,1,NTC,none,3,root,TRUE,TRUE,TRUE,,VAL1601_38,VAL1601_38,1,AY598657,CBS 398.51,99,1604,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_98,2016,MI,1,NTC,none,3,root,FALSE,.,.,,VAL1601_38,VAL1601_98,1,AY598645,CBS 453.67,98,1655,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_39,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,stem,TRUE,TRUE,FALSE,,VAL1601_39,.,.,.,.,.,.,.,.,.,.
VAL1601_107,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,stem,FALSE,.,.,,VAL1601_39,VAL1601_107,1,HQ643764,BR 627,100,1840,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_39,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,root,TRUE,TRUE,FALSE,,VAL1601_39,VAL1601_39,1,AY598657,CBS 398.51,100,1650,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_40,2016,MI,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1601_40,.,.,.,.,.,.,.,.,.,.
VAL1601_40,2016,MI,1,NTC,none,3,root,TRUE,TRUE,FALSE,,VAL1601_40,VAL1601_40,1,AY598645,CBS 453.67,99,1677,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_41,2016,MI,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1601_41,.,.,.,.,.,.,.,.,.,.
VAL1601_41,2016,MI,1,NTC,none,3,root,TRUE,TRUE,TRUE,,VAL1601_41,VAL1601_41,1,AY598645,CBS 453.67,100,1746,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_85,2016,MI,1,NTC,none,3,root,FALSE,.,.,,VAL1601_41,VAL1601_85,1,AY598702,CBS 250.28,99,1810,Pass,Pythium irregulare  ,Pythium irregulare,F
VAL1601_86,2016,MI,1,NTC,none,3,root,FALSE,.,.,,VAL1601_41,VAL1601_86,1,DQ091300,20172,100,1812,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_87,2016,MI,1,NTC,none,3,root,FALSE,.,.,,VAL1601_41,VAL1601_87,1,AY598657,CBS 398.51,100,1655,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_42,2016,MI,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1601_42,.,.,.,.,.,.,.,.,.,.
VAL1601_42,2016,MI,1,NTC,none,3,root,TRUE,TRUE,FALSE,,VAL1601_42,VAL1601_42,1,AY598657,CBS 398.51,100,1646,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_43,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,TRUE,FALSE,,VAL1601_43,.,.,.,.,.,.,.,.,.,.
VAL1601_43,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1601_43,.,.,.,.,.,.,.,.,.,.
VAL1601_116,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,FALSE,.,.,,VAL1601_43,VAL1601_116,1,AY598645,CBS 453.67,100,1827,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_44,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,TRUE,FALSE,,VAL1601_44,.,.,.,.,.,.,.,.,.,.
VAL1601_44,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1601_44,.,.,.,.,.,.,.,.,.,.
VAL1601_100,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,FALSE,.,.,,VAL1601_44,VAL1601_100,1,HQ643764,BR 627,99,1836,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_45,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1601_45,.,.,.,.,.,.,.,.,.,.
VAL1601_45,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,TRUE,TRUE,,VAL1601_45,VAL1601_45,1,AY598657,CBS 398.51,100,1663,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_84,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,FALSE,.,.,,VAL1601_45,VAL1601_84,1,HQ643764,BR 627,99,1829,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_46,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1601_46,.,.,.,.,.,.,.,.,.,.
VAL1601_46,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,TRUE,FALSE,,VAL1601_46,VAL1601_46,1,AY598657,CBS 398.51,99,1581,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_47,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1601_47,.,.,.,.,.,.,.,.,.,.
VAL1601_47,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1601_47,.,.,.,.,.,.,.,.,.,.
VAL1601_48,2016,MI,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1601_48,.,.,.,.,.,.,.,.,.,.
VAL1601_48,2016,MI,1,NTC,none,1,root,TRUE,TRUE,FALSE,,VAL1601_48,VAL1601_48,1,AY598645,CBS 453.67,100,1799,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_49,2016,MI,1,NTC,none,1,root,TRUE,FALSE,FALSE,,VAL1601_49,.,.,.,.,.,.,.,.,.,.
VAL1601_49,2016,MI,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1601_49,.,.,.,.,.,.,.,.,.,.
VAL1601_50,2016,MI,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1601_50,.,.,.,.,.,.,.,.,.,.
VAL1601_50,2016,MI,1,NTC,none,1,root,TRUE,TRUE,FALSE,,VAL1601_50,VAL1601_50,1,AY598624,CBS 316.33,100,1574,Pass,Pythium torulosum  ,Pythium torulosum,B
VAL1601_51,2016,MI,1,NTC,none,1,root,TRUE,TRUE,FALSE,,VAL1601_51,.,.,.,.,.,.,.,.,.,.
VAL1601_51,2016,MI,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1601_51,.,.,.,.,.,.,.,.,.,.
VAL1601_95,2016,MI,1,NTC,none,1,root,FALSE,.,.,,VAL1601_51,VAL1601_95,1,AY598645,CBS 453.67,100,1825,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_52,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,root,TRUE,FALSE,FALSE,,VAL1601_52,.,.,.,.,.,.,.,.,.,.
VAL1601_52,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,stem,TRUE,FALSE,FALSE,,VAL1601_52,.,.,.,.,.,.,.,.,.,.
VAL1601_53,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,root,TRUE,FALSE,FALSE,,VAL1601_53,.,.,.,.,.,.,.,.,.,.
VAL1601_53,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,stem,TRUE,FALSE,FALSE,,VAL1601_53,.,.,.,.,.,.,.,.,.,.
VAL1601_54,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,root,TRUE,FALSE,FALSE,,VAL1601_54,.,.,.,.,.,.,.,.,.,.
VAL1601_54,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,stem,TRUE,FALSE,FALSE,,VAL1601_54,.,.,.,.,.,.,.,.,.,.
VAL1601_55,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,root,TRUE,FALSE,FALSE,,VAL1601_55,.,.,.,.,.,.,.,.,.,.
VAL1601_55,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,stem,TRUE,TRUE,FALSE,,VAL1601_55,VAL1601_55,1,HQ643764,BR 627,100,1836,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_56,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,root,TRUE,FALSE,FALSE,,VAL1601_56,.,.,.,.,.,.,.,.,.,.
VAL1601_56,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,stem,TRUE,FALSE,FALSE,,VAL1601_56,.,.,.,.,.,.,.,.,.,.
VAL1601_57,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,root,TRUE,FALSE,FALSE,,VAL1601_57,.,.,.,.,.,.,.,.,.,.
VAL1601_57,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,5,stem,TRUE,FALSE,FALSE,,VAL1601_57,.,.,.,.,.,.,.,.,.,.
VAL1601_58,2016,MI,1,NTC,none,4,root,TRUE,FALSE,FALSE,,VAL1601_58,.,.,.,.,.,.,.,.,.,.
VAL1601_58,2016,MI,1,NTC,none,4,stem,TRUE,FALSE,FALSE,,VAL1601_58,.,.,.,.,.,.,.,.,.,.
